customer_id,signup_date,city,acquisition_channel,month
CUST000007,21-03-2025,Pune,Organic,March
CUST000008,07-02-2025,Kolkata,Referral,February
CUST000009,25-02-2025,Delhi,Paid,February
CUST000010,28-01-2025,Hyderabad,Paid,January
CUST000011,18-01-2025,Kolkata,Organic,January
CUST000014,03-07-2025,Bengaluru,Paid,July
CUST000015,14-02-2025,Ahmedabad,Organic,February
CUST000017,11-04-2025,Mumbai,Organic,April
CUST000019,03-02-2025,Bengaluru,Organic,February
CUST000020,10-01-2025,Pune,Paid,January
CUST000021,03-05-2025,Kolkata,Organic,May
CUST000025,15-01-2025,Bengaluru,Paid,January
CUST000027,27-01-2025,Pune,Social,January
CUST000028,24-06-2025,Pune,Paid,June
CUST000030,23-05-2025,Delhi,Referral,May
CUST000037,09-06-2025,Mumbai,Referral,June
CUST000039,14-03-2025,Pune,Organic,March
CUST000042,21-05-2025,Bengaluru,Organic,May
CUST000043,01-05-2025,Kolkata,Organic,May
CUST000044,19-01-2025,Bengaluru,Organic,January
CUST000049,01-03-2025,Hyderabad,Organic,March
CUST000056,03-04-2025,Mumbai,Paid,April
CUST000057,30-12-2024,Hyderabad,Organic,December
CUST000059,26-02-2025,Mumbai,Organic,February
CUST000060,30-01-2025,Kolkata,Organic,January
CUST000065,03-04-2025,Bengaluru,Organic,April
CUST000066,16-12-2024,Pune,Organic,December
CUST000072,26-03-2025,Bengaluru,Organic,March
CUST000073,18-01-2025,Hyderabad,Paid,January
CUST000075,01-12-2024,Hyderabad,Organic,December
CUST000077,06-05-2025,Mumbai,Social,May
CUST000083,21-01-2025,Pune,Referral,January
CUST000084,31-03-2025,Pune,Organic,March
CUST000087,29-12-2024,Hyderabad,Social,December
CUST000088,15-01-2025,Pune,Paid,January
CUST000090,07-03-2025,Pune,Organic,March
CUST000094,10-07-2025,Delhi,Social,July
CUST000097,11-05-2025,Mumbai,Referral,May
CUST000098,17-03-2025,Chennai,Social,March
CUST000100,25-12-2024,Hyderabad,Social,December
CUST000102,14-11-2024,Delhi,Organic,November
CUST000103,27-12-2024,Ahmedabad,Organic,December
CUST000105,14-02-2025,Pune,Organic,February
CUST000106,20-02-2025,Mumbai,Social,February
CUST000107,25-04-2025,Pune,Organic,April
CUST000108,01-03-2025,Bengaluru,Organic,March
CUST000109,18-01-2025,Bengaluru,Social,January
CUST000110,30-03-2025,Mumbai,Organic,March
CUST000111,03-08-2025,Mumbai,Organic,August
CUST000113,09-02-2025,Mumbai,Referral,February
CUST000115,17-02-2025,Mumbai,Referral,February
CUST000117,27-01-2025,Delhi,Referral,January
CUST000120,10-01-2025,Ahmedabad,Referral,January
CUST000121,27-12-2024,Pune,Organic,December
CUST000123,19-12-2024,Bengaluru,Social,December
CUST000124,09-03-2025,Delhi,Paid,March
CUST000127,29-12-2024,Ahmedabad,Organic,December
CUST000128,18-03-2025,Mumbai,Referral,March
CUST000129,18-02-2025,Bengaluru,Paid,February
CUST000131,25-03-2025,Hyderabad,Organic,March
CUST000134,05-03-2025,Pune,Paid,March
CUST000135,01-05-2025,Bengaluru,Paid,May
CUST000139,27-11-2024,Delhi,Referral,November
CUST000140,15-02-2025,Bengaluru,Paid,February
CUST000141,22-02-2025,Bengaluru,Social,February
CUST000142,21-02-2025,Delhi,Organic,February
CUST000143,28-02-2025,Mumbai,Organic,February
CUST000144,05-02-2025,Kolkata,Social,February
CUST000146,05-01-2025,Delhi,Referral,January
CUST000147,31-12-2024,Bengaluru,Referral,December
CUST000148,01-08-2025,Ahmedabad,Social,August
CUST000149,20-12-2024,Bengaluru,Referral,December
CUST000150,16-03-2025,Ahmedabad,Organic,March
CUST000151,02-01-2025,Hyderabad,Organic,January
CUST000153,07-04-2025,Hyderabad,Organic,April
CUST000154,01-01-2025,Delhi,Paid,January
CUST000155,23-03-2025,Delhi,Organic,March
CUST000158,07-12-2024,Hyderabad,Referral,December
CUST000159,10-01-2025,Pune,Organic,January
CUST000161,30-12-2024,Bengaluru,Organic,December
CUST000163,29-01-2025,Mumbai,Organic,January
CUST000165,24-02-2025,Bengaluru,Paid,February
CUST000166,26-01-2025,Mumbai,Organic,January
CUST000168,03-02-2025,Delhi,Organic,February
CUST000169,25-07-2025,Bengaluru,Paid,July
CUST000170,10-03-2025,Bengaluru,Referral,March
CUST000172,29-06-2025,Pune,Referral,June
CUST000174,11-04-2025,Bengaluru,Referral,April
CUST000175,12-03-2025,Pune,Organic,March
CUST000178,25-12-2024,Ahmedabad,Paid,December
CUST000180,08-02-2025,Mumbai,Social,February
CUST000188,15-12-2024,Ahmedabad,Social,December
CUST000190,08-02-2025,Pune,Paid,February
CUST000191,11-02-2025,Kolkata,Organic,February
CUST000193,05-12-2024,Mumbai,Paid,December
CUST000194,23-02-2025,Bengaluru,Paid,February
CUST000197,29-05-2025,Chennai,Organic,May
CUST000198,17-12-2024,Hyderabad,Organic,December
CUST000200,12-12-2024,Chennai,Organic,December
CUST000201,25-12-2024,Bengaluru,Organic,December
CUST000203,28-02-2025,Kolkata,Referral,February
CUST000211,28-11-2024,Mumbai,Paid,November
CUST000214,03-01-2025,Ahmedabad,Organic,January
CUST000215,27-12-2024,Mumbai,Paid,December
CUST000216,16-01-2025,Mumbai,Paid,January
CUST000217,05-02-2025,Bengaluru,Paid,February
CUST000218,27-12-2024,Chennai,Organic,December
CUST000219,28-04-2025,Hyderabad,Paid,April
CUST000220,08-12-2024,Chennai,Social,December
CUST000221,20-01-2025,Bengaluru,Organic,January
CUST000222,07-05-2025,Mumbai,Organic,May
CUST000229,11-06-2025,Ahmedabad,Paid,June
CUST000231,31-01-2025,Ahmedabad,Organic,January
CUST000233,13-07-2025,Chennai,Social,July
CUST000237,07-06-2025,Kolkata,Paid,June
CUST000239,26-05-2025,Delhi,Social,May
CUST000242,19-03-2025,Mumbai,Social,March
CUST000243,03-02-2025,Chennai,Social,February
CUST000245,20-04-2025,Hyderabad,Organic,April
CUST000247,06-06-2025,Bengaluru,Paid,June
CUST000252,03-12-2024,Delhi,Organic,December
CUST000256,15-06-2025,Delhi,Organic,June
CUST000257,14-03-2025,Bengaluru,Organic,March
