menu_item_id,restaurant_id,item_name,category,is_veg,price
MENU12962_3216,REST12962,Paneer Tikka Pizza,Pizza,Y,271.05
MENU12962_1962,REST12962,Pepperoni Pizza,Pizza,N,327.26
MENU14069_0510,REST14069,Egg Fried Rice,Fried Rice,N,200.01
MENU14069_4308,REST14069,Paneer Tikka,Starters,Y,198.83
MENU08622_7574,REST08622,Kadai Paneer,Curries,Y,271.6
MENU19745_4217,REST19745,Chicken Tikka Pizza,Pizza,N,322.77
MENU19745_4386,REST19745,Pepperoni Pizza,Pizza,N,189.79
MENU19745_0339,REST19745,Masala Chai,Beverages,Y,64.75
MENU02383_3232,REST02383,Bonda,Snacks,Y,69.34
MENU01307_1280,REST01307,Sweet Lassi,Beverages,Y,121.04
MENU12542_8920,REST12542,Chicken Fried Rice,Fried Rice,N,142.6
MENU13907_3110,REST13907,Paneer Tikka,Starters,Y,127.99
MENU13907_9884,REST13907,Schezwan Veg Noodles,Noodles,Y,240.01
MENU13907_1338,REST13907,Veg Cutlet,Starters,Y,124.35
MENU10267_3494,REST10267,Veg Burger,Burgers,Y,173.04
MENU02429_7595,REST02429,Cold Coffee,Beverages,Y,143.4
MENU05434_6914,REST05434,Sweet Lassi,Beverages,Y,177.5
MENU08451_9033,REST08451,Sweet Lassi,Beverages,N,165.52
MENU08451_8301,REST08451,Rasmalai,Desserts,Y,184.38
MENU08451_0710,REST08451,Sweet Lassi,Beverages,N,88.97
MENU00225_8273,REST00225,Cold Coffee,Beverages,Y,90.62
MENU00225_0229,REST00225,Cheesy Dip,Sides,Y,82.58
MENU00225_7385,REST00225,Cold Coffee,Beverages,Y,116.21
MENU13916_8617,REST13916,Chicken Burger,Burgers,N,185.73
MENU13916_3518,REST13916,Cold Coffee,Beverages,Y,132.77
MENU16733_8872,REST16733,Veg Biryani,Biryani,Y,239.29
MENU16733_0481,REST16733,Chicken Biryani,Biryani,N,266.37
MENU09262_5229,REST09262,Gobi Manchurian,Starters,Y,235.34
MENU13839_8574,REST13839,Gobi Manchurian,Starters,Y,138.11
MENU12102_7746,REST12102,Rava Idli,Idli,Y,102.27
MENU01441_5388,REST01441,Sweet Lassi,Beverages,Y,159.78
MENU01441_4723,REST01441,Masala Chai,Beverages,Y,97.96
MENU03046_2630,REST03046,Veggie Supreme Pizza,Pizza,Y,397.67
MENU03046_7726,REST03046,Garlic Bread,Sides,Y,128.56
MENU03046_7717,REST03046,Pepperoni Pizza,Pizza,N,337.71
MENU03046_3583,REST03046,Sweet Lassi,Beverages,N,152.88
MENU03046_7367,REST03046,Cheesy Dip,Sides,Y,94.09
MENU09769_4870,REST09769,Gobi Manchurian,Starters,Y,177.32
MENU16824_5553,REST16824,Paneer Tikka Pizza,Pizza,Y,275.16
MENU16824_1730,REST16824,Margherita Pizza,Pizza,Y,273.13
MENU02776_0337,REST02776,Peri-Peri Fries,Fries,Y,129.95
MENU16349_9022,REST16349,Veg Cutlet,Starters,Y,160.5
MENU16349_0558,REST16349,Sweet Lassi,Beverages,N,160.68
MENU14036_3893,REST14036,Chicken Puff,Snacks,N,95.4
MENU14036_3051,REST14036,Mysore Masala Dosa,Dosa,Y,80.49
MENU18854_0088,REST18854,Paneer Tikka,Starters,Y,145.68
MENU18854_5512,REST18854,Schezwan Veg Noodles,Noodles,Y,142.6
MENU18854_5886,REST18854,Schezwan Veg Noodles,Noodles,Y,238.28
MENU18854_6475,REST18854,Paneer Tikka,Starters,Y,132.38
MENU18854_9971,REST18854,Chicken Hakka Noodles,Noodles,N,258.35
MENU00857_0743,REST00857,Egg Dosa,Dosa,N,150.16
MENU00857_8374,REST00857,Bonda,Snacks,Y,106.33
MENU00857_4390,REST00857,Veg Pulao,Rice,Y,163.24
MENU05538_0368,REST05538,Paneer Tikka,Starters,Y,123.39
MENU01359_5427,REST01359,Cold Coffee,Beverages,Y,98.51
MENU11834_5030,REST11834,Garlic Naan,Breads,Y,48.76
MENU11834_7543,REST11834,Tandoori Roti,Breads,Y,46.48
MENU16310_8104,REST16310,Mysore Masala Dosa,Dosa,Y,93.66
MENU16310_9060,REST16310,Egg Dosa,Dosa,N,142.87
MENU16310_2582,REST16310,Rava Idli,Idli,Y,112.5
MENU03421_8342,REST03421,Chicken Tikka,Starters,N,162
MENU14521_9876,REST14521,Cheesy Dip,Sides,Y,150.24
MENU14521_0611,REST14521,Margherita Pizza,Pizza,Y,352.52
MENU15674_7282,REST15674,Paneer Tikka,Starters,Y,197.41
MENU15674_9901,REST15674,Fish Fry,Starters,N,125.34
MENU15674_7439,REST15674,Gobi Manchurian,Starters,Y,134.02
MENU05846_7662,REST05846,Chicken Tikka,Starters,N,217.34
MENU02134_8978,REST02134,Curd Rice,Rice,Y,94.29
MENU02134_3884,REST02134,Lemon Rice,Rice,Y,109.67
MENU02134_5643,REST02134,Veg Pulao,Rice,Y,105.83
MENU19821_1738,REST19821,Lemon Rice,Rice,Y,92.31
MENU18077_9369,REST18077,Masala Chai,Beverages,Y,131.36
MENU18077_5093,REST18077,Chicken Tikka Pizza,Pizza,N,237.91
MENU05332_8141,REST05332,Chicken Tikka,Starters,N,156.47
MENU05332_6298,REST05332,Chicken Fried Rice,Fried Rice,N,172.15
MENU05332_6466,REST05332,Schezwan Fried Rice,Fried Rice,Y,247.68
MENU17055_2203,REST17055,Veg Cutlet,Starters,Y,171.03
MENU19428_3664,REST19428,Paneer Kathi Roll,Wraps,Y,140.1
MENU19428_2700,REST19428,Chicken Kathi Roll,Wraps,N,199.72
MENU19428_2086,REST19428,French Fries,Fries,N,156.23
MENU00617_6662,REST00617,Veg Hakka Noodles,Noodles,Y,204.85
MENU11164_1268,REST11164,Peri-Peri Fries,Fries,Y,121.07
MENU11164_0065,REST11164,Paneer Kathi Roll,Wraps,Y,204.99
MENU11164_3747,REST11164,Veg Burger,Burgers,Y,151.51
MENU11743_1603,REST11743,Curd Rice,Rice,Y,159.85
MENU11743_3233,REST11743,Vada,Snacks,Y,106.35
MENU11743_7705,REST11743,Plain Dosa,Dosa,Y,99.19
MENU02780_9603,REST02780,Paneer Tikka Pizza,Pizza,Y,386.39
MENU02780_5081,REST02780,Fresh Lime Soda,Beverages,Y,107.67
MENU10211_8922,REST10211,Falooda,Desserts,Y,171.5
MENU10211_3563,REST10211,Rasmalai,Desserts,Y,195.86
MENU16919_7784,REST16919,Sweet Lassi,Beverages,Y,139.22
MENU16919_4937,REST16919,Fresh Lime Soda,Beverages,Y,74.58
MENU03730_6205,REST03730,Butter Naan,Breads,N,46.97
MENU03730_9732,REST03730,Chicken Tikka,Starters,N,229.51
MENU03730_6532,REST03730,Dal Tadka,Curries,Y,237.04
MENU03446_4140,REST03446,Veg Biryani,Biryani,Y,192.21
MENU03446_3636,REST03446,Veg Biryani,Biryani,Y,201.16
MENU12873_2973,REST12873,Veg Pulao,Rice,Y,140.59
MENU12873_0468,REST12873,Bonda,Snacks,Y,139.92
MENU12873_3437,REST12873,Lemon Rice,Rice,Y,118.68
MENU12873_2997,REST12873,Egg Fried Rice,Rice,N,177.32
MENU16740_4888,REST16740,Sweet Lassi,Beverages,N,156.1
MENU16740_9043,REST16740,Brownie with Ice Cream,Desserts,N,194.45
MENU16740_7575,REST16740,Falooda,Desserts,Y,185.07
MENU03622_1475,REST03622,Veg Biryani,Biryani,Y,226.65
MENU03622_1362,REST03622,Veg Biryani,Biryani,Y,240.66
MENU03622_7684,REST03622,Chicken Tikka,Starters,N,215.45
MENU18299_2032,REST18299,Greek Salad,Salads,Y,253.31
MENU18299_8000,REST18299,Veg Caesar Salad,Salads,Y,190.8
MENU02799_4874,REST02799,Veg Caesar Salad,Salads,Y,236.2
MENU02138_4583,REST02138,Veg Cutlet,Starters,Y,223.93
MENU02138_4332,REST02138,Mutton Biryani,Biryani,N,296.44
MENU18615_6151,REST18615,Veg Cutlet,Starters,Y,152.77
MENU18615_5179,REST18615,Butter Naan,Breads,N,60.14
MENU17572_9431,REST17572,Paneer Kathi Roll,Wraps,Y,200.87
MENU17572_9146,REST17572,Paneer Burger,Burgers,Y,153.09
MENU07850_7370,REST07850,Chicken Hakka Noodles,Noodles,N,209.03
MENU07850_0399,REST07850,Schezwan Fried Rice,Fried Rice,Y,246.79
MENU07850_5030,REST07850,Schezwan Veg Noodles,Noodles,Y,168.25
MENU09824_9573,REST09824,Chicken Protein Bowl,Bowls,N,214.29
MENU09824_3767,REST09824,Watermelon Juice,Juices,Y,110.11
MENU09824_7621,REST09824,Veg Buddha Bowl,Bowls,Y,206.64
MENU00532_6608,REST00532,Chicken Burger,Burgers,N,159.38
MENU19360_5679,REST19360,Garlic Naan,Breads,Y,59.58
MENU19360_6622,REST19360,Chole Masala,Curries,Y,184.57
MENU19360_0762,REST19360,Butter Chicken,Curries,N,174.11
MENU19897_5407,REST19897,Veg Biryani,Biryani,Y,260.56
MENU19897_2885,REST19897,Egg Biryani,Biryani,N,294.05
MENU05296_2971,REST05296,Sweet Lassi,Beverages,N,157.71
MENU05296_6218,REST05296,Cheesy Dip,Sides,Y,85.7
MENU15289_0736,REST15289,Peri-Peri Fries,Fries,Y,96
MENU15289_9547,REST15289,Chicken Burger,Burgers,N,185.31
