order_id,customer_id,restaurant_id,rating,review_text,review_timestamp,sentiment_score
ORD202501023439,CUST181110,REST08622,4.5,Super fast delivery,01-01-2025 15.00,0.75
ORD202501019281,CUST179306,REST14069,4.5,Great taste!,01-01-2025 15.00,0.75
ORD202501018036,CUST093042,REST13907,5,Super fast delivery,01-01-2025 14.03,1
ORD202501007724,CUST110825,REST08451,4,Tasty but a bit late,01-01-2025 14.06,0.5
ORD202501002349,CUST181669,REST00225,4.4,Satisfied overall,01-01-2025 14.06,0.7
ORD202501000464,CUST024044,REST16733,4.8,Loved it!,01-01-2025 14.07,0.9
ORD202501009188,CUST139611,REST13916,4.8,Loved it!,01-01-2025 15.07,0.9
ORD202501023625,CUST078091,REST12102,5,Great taste!,01-01-2025 15.11,1
ORD202501003201,CUST035317,REST03046,4.9,Loved it!,01-01-2025 14.12,0.95
ORD202501019777,CUST092566,REST01441,4.5,Great taste!,01-01-2025 14.12,0.75
ORD202501002874,CUST151345,REST16824,4.8,Excellent service,01-01-2025 15.13,0.9
ORD202501017575,CUST064832,REST02776,4.7,Loved it!,01-01-2025 14.14,0.85
ORD202501019797,CUST158904,REST16349,4.6,Fresh and delicious,01-01-2025 14.15,0.8
ORD202501021971,CUST001964,REST14036,4.2,Tasty but a bit late,01-01-2025 14.16,0.6
ORD202501006768,CUST062712,REST05538,5,Excellent service,01-01-2025 15.17,1
ORD202501014460,CUST116989,REST01359,4.1,Could be hotter,01-01-2025 14.17,0.55
ORD202501019978,CUST131834,REST16310,4.9,Loved it!,01-01-2025 15.19,0.95
ORD202501008563,CUST189318,REST05846,4.7,Fresh and delicious,01-01-2025 14.20,0.85
ORD202501008565,CUST094263,REST18077,4.7,Excellent service,01-01-2025 14.22,0.85
ORD202501021890,CUST137388,REST19428,5,Loved it!,01-01-2025 15.24,1
ORD202501006871,CUST143266,REST12873,4.2,Could be hotter,01-01-2025 14.30,0.6
ORD202501019834,CUST079774,REST02799,4.5,Excellent service,01-01-2025 14.32,0.75
ORD202501008435,CUST190814,REST18615,4.7,Loved it!,01-01-2025 14.36,0.85
ORD202501020936,CUST058198,REST17572,5,Loved it!,01-01-2025 14.37,1
ORD202501008187,CUST134132,REST07850,4.5,Loved it!,01-01-2025 15.37,0.75
ORD202501019832,CUST073465,REST09824,4.4,Good but can improve,01-01-2025 15.39,0.7
ORD202501013652,CUST065003,REST00532,5,Loved it!,01-01-2025 15.40,1
ORD202501016646,CUST008940,REST19360,4.3,Okay experience,01-01-2025 15.40,0.65
ORD202501017479,CUST104728,REST15617,4.8,Great taste!,01-01-2025 14.42,0.9
ORD202501015659,CUST000998,REST05296,5,Excellent service,01-01-2025 15.42,1
ORD202501019201,CUST045690,REST15289,5,Super fast delivery,01-01-2025 14.42,1
ORD202501016418,CUST048710,REST01696,4.5,Fresh and delicious,01-01-2025 14.43,0.75
ORD202501009148,CUST038125,REST09335,4.8,Great taste!,01-01-2025 14.44,0.9
ORD202501012777,CUST071461,REST14773,4.7,Great taste!,01-01-2025 15.44,0.85
ORD202501006131,CUST017025,REST08536,4.8,Super fast delivery,01-01-2025 15.45,0.9
ORD202501000787,CUST171351,REST13684,4.9,Super fast delivery,01-01-2025 15.46,0.95
ORD202501014786,CUST046485,REST11047,4.7,Great taste!,01-01-2025 15.48,0.85
ORD202501011828,CUST117732,REST01765,4.1,Satisfied overall,01-01-2025 14.48,0.55
ORD202501021095,CUST007630,REST07188,5,Excellent service,01-01-2025 15.50,1
ORD202501013823,CUST110292,REST03932,4.8,Fresh and delicious,01-01-2025 14.51,0.9
ORD202501009946,CUST114779,REST14408,4.3,Okay experience,01-01-2025 14.53,0.65
ORD202501010477,CUST027575,REST11261,4.3,Okay experience,01-01-2025 14.53,0.65
